Statim,Statim Name,Serial Number,Cycle Number,Run Date,Run Time,Cycle Type,Timestamp,Temperature (C),Pressure (kPa)
A,STATIM 2000 S203R750,500919I00007,000459,02/02/2021,8:44,Unwrapped,4:30,136.0,227
A,STATIM 2000 S203R750,500919I00007,000459,02/02/2021,8:44,Unwrapped,5:00,136.3,231
A,STATIM 2000 S203R750,500919I00007,000459,02/02/2021,8:44,Unwrapped,5:30,136.4,233
A,STATIM 2000 S203R750,500919I00007,000459,02/02/2021,8:44,Unwrapped,6:00,136.4,232
A,STATIM 2000 S203R750,500919I00007,000459,02/02/2021,8:44,Unwrapped,6:30,136.2,231
A,STATIM 2000 S203R750,500919I00007,000459,02/02/2021,8:44,Unwrapped,7:00,136.2,232
A,STATIM 2000 S203R750,500919I00007,000459,02/02/2021,8:44,Unwrapped,7:30,136.1,230
A,STATIM 2000 S203R750,500919I00007,000459,02/02/2021,8:44,Unwrapped,8:00,136.4,233
A,STATIM 2000 S203R750,500919I00007,000459,02/02/2021,8:44,Unwrapped,8:00,136.4,233
A,STATIM 2000 S203R750,500919I00007,000469,02/02/2021,14:06,Unwrapped,3:47,136.0,228
A,STATIM 2000 S203R750,500919I00007,000469,02/02/2021,14:06,Unwrapped,4:17,136.2,231
A,STATIM 2000 S203R750,500919I00007,000469,02/02/2021,14:06,Unwrapped,4:47,136.4,233
A,STATIM 2000 S203R750,500919I00007,000469,02/02/2021,14:06,Unwrapped,5:17,136.2,231
A,STATIM 2000 S203R750,500919I00007,000469,02/02/2021,14:06,Unwrapped,5:47,136.4,233
A,STATIM 2000 S203R750,500919I00007,000469,02/02/2021,14:06,Unwrapped,6:17,136.1,231
A,STATIM 2000 S203R750,500919I00007,000469,02/02/2021,14:06,Unwrapped,6:47,136.4,233
A,STATIM 2000 S203R750,500919I00007,000469,02/02/2021,14:06,Unwrapped,7:17,136.4,233
A,STATIM 2000 S203R750,500919I00007,000469,02/02/2021,14:06,Unwrapped,7:17,136.4,233
A,STATIM 2000 S203R750,500919I00007,000461,02/02/2021,9:47,Unwrapped,4:21,136.1,230
A,STATIM 2000 S203R750,500919I00007,000461,02/02/2021,9:47,Unwrapped,4:51,136.3,233
A,STATIM 2000 S203R750,500919I00007,000461,02/02/2021,9:47,Unwrapped,5:21,136.4,233
A,STATIM 2000 S203R750,500919I00007,000461,02/02/2021,9:47,Unwrapped,5:51,136.2,230
A,STATIM 2000 S203R750,500919I00007,000461,02/02/2021,9:47,Unwrapped,6:21,136.1,231
A,STATIM 2000 S203R750,500919I00007,000461,02/02/2021,9:47,Unwrapped,6:51,136.2,231
A,STATIM 2000 S203R750,500919I00007,000461,02/02/2021,9:47,Unwrapped,7:21,136.2,232
A,STATIM 2000 S203R750,500919I00007,000461,02/02/2021,9:47,Unwrapped,7:51,136.3,233
A,STATIM 2000 S203R750,500919I00007,000461,02/02/2021,9:47,Unwrapped,7:51,136.3,233
B,STATIM 2000 S203R751,500919I00001,001268,25/02/2021,7:30,Unwrapped,4:30,136.5,223
B,STATIM 2000 S203R751,500919I00001,001268,25/02/2021,7:30,Unwrapped,5:00,136.4,220
B,STATIM 2000 S203R751,500919I00001,001268,25/02/2021,7:30,Unwrapped,5:30,136.1,222
B,STATIM 2000 S203R751,500919I00001,001268,25/02/2021,7:30,Unwrapped,6:00,136.2,222
B,STATIM 2000 S203R751,500919I00001,001268,25/02/2021,7:30,Unwrapped,6:30,136.3,223
B,STATIM 2000 S203R751,500919I00001,001268,25/02/2021,7:30,Unwrapped,7:00,136.0,222
B,STATIM 2000 S203R751,500919I00001,001268,25/02/2021,7:30,Unwrapped,7:30,136.4,222
B,STATIM 2000 S203R751,500919I00001,001268,25/02/2021,7:30,Unwrapped,8:00,136.4,223
B,STATIM 2000 S203R751,500919I00001,001268,25/02/2021,7:30,Unwrapped,8:00,136.4,223
B,STATIM 2000 S203R751,500919I00001,001269,25/02/2021,8:05,Unwrapped,3:51,136.0,220
B,STATIM 2000 S203R751,500919I00001,001269,25/02/2021,8:05,Unwrapped,4:21,136.4,222
B,STATIM 2000 S203R751,500919I00001,001269,25/02/2021,8:05,Unwrapped,4:51,136.2,223
B,STATIM 2000 S203R751,500919I00001,001269,25/02/2021,8:05,Unwrapped,5:21,136.0,221
B,STATIM 2000 S203R751,500919I00001,001269,25/02/2021,8:05,Unwrapped,5:51,136.4,224
B,STATIM 2000 S203R751,500919I00001,001269,25/02/2021,8:05,Unwrapped,6:21,136.4,225
B,STATIM 2000 S203R751,500919I00001,001269,25/02/2021,8:05,Unwrapped,6:51,136.4,223
B,STATIM 2000 S203R751,500919I00001,001269,25/02/2021,8:05,Unwrapped,7:21,136.2,221
B,STATIM 2000 S203R751,500919I00001,001269,25/02/2021,8:05,Unwrapped,7:21,136.2,221
B,STATIM 2000 S203R751,500919I00001,001282,25/02/2021,15:41,Unwrapped,3:48,136.0,220
