Statim,Cycle Number,Run Date,Run Time,Min Temp (C),Max Temp (C),Avg Temp (C),Min Pressure,Max Pressure,Avg Pressure,Readings Count,Datetime
StatimA,000459,02/02/2021,8:44,136.0,136.4,136.26666666666668,227,233,231.33333333333334,9,2021-02-02 08:44:00
StatimA,000469,02/02/2021,14:06,136.0,136.4,136.27777777777777,228,233,231.77777777777777,9,2021-02-02 14:06:00
StatimA,000461,02/02/2021,9:47,136.1,136.4,136.23333333333332,230,233,231.77777777777777,9,2021-02-02 09:47:00
StatimA,000465,02/02/2021,11:40,136.1,136.5,136.27777777777777,231,233,232.11111111111111,9,2021-02-02 11:40:00
StatimA,000468,02/02/2021,13:40,136.0,136.4,136.23333333333332,226,233,231.22222222222223,9,2021-02-02 13:40:00
StatimB,001268,25/02/2021,7:30,136.0,136.5,136.3,220,223,222.22222222222223,9,2021-02-25 07:30:00
StatimB,001269,25/02/2021,8:05,136.0,136.4,136.24444444444444,220,225,222.22222222222223,9,2021-02-25 08:05:00
StatimB,001282,25/02/2021,15:41,135.9,136.4,136.2,219,225,221.77777777777777,9,2021-02-25 15:41:00
StatimB,001276,25/02/2021,12:10,136.1,136.4,136.3,221,225,223.55555555555554,9,2021-02-25 12:10:00
StatimB,001274,25/02/2021,10:37,136.0,136.4,136.24444444444444,220,225,221.88888888888889,9,2021-02-25 10:37:00
